row,case_id,api,dashboard_status,acceptance_status,evidence_grade,stage,manual_code_category,manual_operator,manual_line,manual_match_method,code_match,code_paths,reason,next
14,OP-AGGREGATE-HIDDEN-001,torch.ops.custom.npu_aggregate_hidden,open,not_run,tool_contract_only,compare,matched_manual_and_code,npu_aggregate_hidden,129,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_aggregate_hidden_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_aggregate_hidden_op.h;../ms_ops/docs/operators/npu_aggregate_hidden.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_aggregate_hidden_op.py,Missing golden or actual .npz artifacts.,"Collect torch_npu/PT golden artifacts and MindSpore actual artifacts, then rerun compare_outputs.py."
15,OP-AI-INFRA-FUSED-CAUSAL-CONV1D-001,torch.ops.custom.npu_ai_infra_fused_causal_conv1d,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_ai_infra_fused_causal_conv1d,141,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_fused_causal_conv1d_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_fused_causal_conv1d_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_causal_conv1d_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_causal_conv1d_op.h;../ms_ops/docs/operators/npu_ai_infra_fused_causal_conv1d.md;../ms_ops/docs/operators/npu_fused_causal_conv1d.md;../ms_ops/docs/operators/supported_operators.md,"After latest ms_ops git pull, tests/operators/aclnn/test_npu_fused_causal_conv1d_op.py completed successfully in the remaining infra batch; aggregate batch result was 5 passed and 4 skipped.",Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
16,OP-AI-INFRA-KV-QUANT-SPARSE-FALSH-ATTENTION-001,torch.ops.custom.npu_ai_infra_kv_quant_sparse_falsh_attention,accepted,pass,provisional_reference,remote_ms_ops_pytest,matched_manual_and_code,npu_ai_infra_kv_quant_sparse_flash_attention,122,alias:npu_ai_infra_kv_quant_sparse_flash_attention,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_kv_quant_sparse_flash_attention_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_kv_quant_sparse_flash_attention_op.h;../ms_ops/docs/operators/npu_ai_infra_kv_quant_sparse_flash_attention.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_ai_infra_kv_quant_sparse_flash_attention_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_ai_infra_kv_quant_sparse_flash_attention_op.py,Remote Ascend ms_ops pytest batch completed with no failures reported for tests/operators/aclnn/test_npu_ai_infra_kv_quant_sparse_flash_attention_op.py.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
17,OP-AI-INFRA-KV-RMSNORM-ROPE-CACHE-V2-001,torch.ops.custom.npu_ai_infra_kv_rmsnorm_rope_cache_v2,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,matched_manual_and_code,npu_ai_infra_kv_rmsnorm_rope_cache_v2,135,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_kv_rmsnorm_rope_cache_v2_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_kv_rmsnorm_rope_cache_v2_op.h;../ms_ops/docs/operators/npu_ai_infra_kv_rmsnorm_rope_cache_v2.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_ai_infra_kv_rmsnorm_rope_cache_v2_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_ai_infra_kv_rmsnorm_rope_cache_v2_op.py,Remote Ascend ms_ops pytest failed: aclnnAiInfraKvRmsNormRopeCacheGetWorkspaceSize not in /lib64/libopapi.so.,"Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_ai_infra_kv_rmsnorm_rope_cache_v2_op.py on xinwen@8.92.7.129 with custom_ops import enabled."
18,OP-AI-INFRA-MANIFOLD-CONSTRAINED-HYPER-CONNECTION-POST-001,torch.ops.custom.npu_ai_infra_manifold_constrained_hyper_connection_post,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_ai_infra_manifold_constrained_hyper_connection_post,151,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_manifold_constrained_hyper_connection_post_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_manifold_constrained_hyper_connection_post_op.h;../ms_ops/docs/operators/npu_ai_infra_manifold_constrained_hyper_connection_post.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_ai_infra_manifold_constrained_hyper_connection_post_op.py,"After latest ms_ops git pull, tests/operators/aclnn/test_npu_mhc_post_op.py completed successfully in the remaining infra batch; aggregate batch result was 5 passed and 4 skipped.",Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
19,OP-AI-INFRA-SCATTER-BLOCK-UPDATE-001,torch.ops.custom.npu_ai_infra_scatter_block_update_,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,dashboard_code_only,,,,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_scatter_block_update__op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_scatter_block_update__op.h;../ms_ops/docs/operators/npu_ai_infra_scatter_block_update_.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_ai_infra_scatter_block_update__op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_ai_infra_scatter_block_update__op.py,Remote Ascend ms_ops pytest failed: aclnnAiInfraScatterBlockUpdateGetWorkspaceSize not in /lib64/libopapi.so.,"Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_ai_infra_scatter_block_update__op.py on xinwen@8.92.7.129 with custom_ops import enabled."
20,OP-AI-INFRA-SPARSE-FLASH-ATTENTION-PIONEER-001,torch.ops.custom.npu_ai_infra_sparse_flash_attention_pioneer,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,matched_manual_and_code,npu_ai_infra_sparse_flash_attention_pioneer,121,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_sparse_flash_attention_pioneer_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_ai_infra_sparse_flash_attention_pioneer_op.h;../ms_ops/docs/operators/npu_ai_infra_sparse_flash_attention_pioneer.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_ai_infra_sparse_flash_attention_pioneer_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_ai_infra_sparse_flash_attention_pioneer_op.py,Remote Ascend ms_ops pytest failed: aclnnAiInfraSparseFlashAttentionPioneerGetWorkspaceSize not in /lib64/libopapi.so.,"Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_ai_infra_sparse_flash_attention_pioneer_op.py on xinwen@8.92.7.129 with custom_ops import enabled."
21,OP-FUSED-INFER-ATTENTION-SINK-001,torch.ops.custom.npu_fused_infer_attention_sink,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,matched_manual_and_code,npu_fused_infer_attention_sink,119,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_infer_attention_sink_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_infer_attention_sink_op.h;../ms_ops/docs/operators/npu_fused_infer_attention_sink.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_fused_infer_attention_sink_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_fused_infer_attention_sink_op.py,Remote Ascend ms_ops pytest failed: aclnnAiInfraFusedInferAttentionSinkGetWorkspaceSize not in /lib64/libopapi.so.,"Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_fused_infer_attention_sink_op.py on xinwen@8.92.7.129 with custom_ops import enabled."
23,OP-LIGHTNING-INDEXER-ENHANCE-001,torch.ops.custom.npu_lightning_indexer_enhance,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,matched_manual_and_code,npu_lightning_indexer_enhance,159,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_lightning_indexer_enhance_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_lightning_indexer_enhance_op.h;../ms_ops/docs/operators/npu_lightning_indexer_enhance.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_lightning_indexer_enhance_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_lightning_indexer_enhance_op.py,"Remote Ascend ms_ops pytest failed: omni_training_custom_ops is missing for reference checks, and aclnnLightningIndexerEnhanceGetWorkspaceSize is not in /lib64/libopapi.so for smoke checks.","Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_lightning_indexer_enhance_op.py on xinwen@8.92.7.129 with custom_ops import enabled."
24,OP-MANIFOLD-CONSTRAINED-HYPER-CONNECTION-PRE-001,torch.ops.custom.npu_manifold_constrained_hyper_connection_pre,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_manifold_constrained_hyper_connection_pre,150,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_manifold_constrained_hyper_connection_pre_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_manifold_constrained_hyper_connection_pre_op.h;../ms_ops/docs/operators/npu_manifold_constrained_hyper_connection_pre.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_manifold_constrained_hyper_connection_pre_op.py,"After latest ms_ops git pull, tests/operators/aclnn/test_npu_mhc_pre_op.py completed successfully: 1 passed and 1 skipped.",Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
